Time,Lake,Habitat,chao,npshannon
P1,LG,S,4458.481013,3.985053
P1,LG,B,4524.370427,4.31672
P1,LM,S,4459.036232,3.741295
P1,BL,S,4626.360447,3.92982
P1,BL,B,4735.79661,4.60699
P1,FL,S,3410.931034,3.463781
P1,FL,B,5029.777358,4.571109
P2,LG,S,7095.639929,5.212713
P2,LG,B,7073.754011,4.718999
P2,LM,S,5443.896341,4.116868
P2,LM,B,7522.483444,4.936419
P2,BL,S,6805.863818,4.474892
P2,BL,B,8834.169142,5.410113
P2,FL,S,8946.503212,5.187605
P2,FL,B,9957.45218,5.642117
P3,LG,S,4369.569207,4.591319
P3,LG,B,5984.167857,5.058595
P3,LM,S,3533.449761,3.414191
P3,LM,B,3777.516667,5.215722
P3,BL,S,4256.294118,4.592544
P3,BL,B,4066.015244,4.629486
