	Time	Lake	Habitat	 Temp	DO	NH4	NO3	DOC	SAC340	pH
61014 LG Surface	1	LG	S	19.7	9.3	1	12	9.8	13.9	6.31E-09
61014 LG Bottom	1	LG	B	8.8	7.3	36	79	9.2	15.3	0.000000324
61014 LM Surface	1	LM	S	16.1	12	2	223	2.4	50.9	7.59E-09
61114 BL Surface	1	BL	S	21.7	10.3	13	21	10.7	12.3	2.69E-09
61114 BL Bottom	1	BL	B	21.2	10.1	55	11	10.6	12.8	3.02E-09
61114 FL Surface	1	FL	S	20.8	8.2	32	50	17.4	12.8	0.000000427
61114 FL Bottom	1	FL	B	11.1	3.2	37	86	16.6	11.5	0.00000347
72814 LG Surface	2	LG	S	20.4	9.1	7	16	9.2	13.7	8.91E-09
72814 LG Bottom	2	LG	B	8.8	0	74	173	9	14.9	0.000000166
73014 LM Surface	2	LM	S	18.2	10.1	26	228	2.8	44.1	5.25E-09
73014 LM Bottom	2	LM	B	15.9	10.3	36	222	2.6	40.5	8.71E-09
72814 BL Surface	2	BL	S	20.7	9.5	12	19	11.4	11.4	2.09E-09
72814 BL Bottom	2	BL	B	20.4	9.6	4	17	11.2	12.2	2.09E-09
72914 FL Surface	2	FL	S	20.7	8	37	11	17.6	9.7	0.000000295
72914 FL Bottom	2	FL	B	12.5	0	176	7	18.5	7.2	0.0000024
83114 LG Surface	3	LG	S	21.4	8.5	5	3	9.5	12.7	5.13E-09
83114 LG Bottom	3	LG	B	9.1	0	8	10	9.1	14.5	0.000000182
83014 LM Surface	3	LM	S	18.1	9.5	15	238	2.4	45.3	5.37E-09
83014 LM Bottom	3	LM	B	10.3	11.5	35	250	2.1	52.5	6.92E-08
83114 BL Surface	3	BL	S	21.3	9	127	15	11.1	10.6	1.78E-09
83114 BL Bottom	3	BL	B	21.1	9.1	2	9	11.1	10.4	1.78E-09
